PAYS;TNAT;TMORT;EV;T65;NBENF;TCR;CONT
Afghanistan;45,49;18,6;44,97;2,254847259;6,35;3,33;ASIE
AfriquedSud;21,22;15,24;52,28;4,737313403;2,45;0,57;AFRIQUE
Albanie;15,02;6,52;77,02;9,907496954;1,85;0,51;EUROPE
Algerie;20,48;4,91;73,13;4,690465595;2,3;1,48;AFRIQUE
Allemagne;7,95;10,77;80,33;20,67003515;1,33;-0,16;EUROPE
Angola;41,38;15,72;48,55;2,48342962;5,44;2,68;AFRIQUE
AntillesNL;12,54;7,55;76,65;10,73842056;1,93;0,87;AMERSUD
Arabiesaoudite;22,39;3,62;73,51;3,019762787;2,9;1,99;ASIE
Argentine;16,87;7,73;75,87;10,76586902;2,19;0,93;AMERSUD
Arménie;15,47;8,92;74,44;10,89328063;1,77;0,3;ASIE
Aruba;11,33;7,7;75,21;9,989815758;1,74;0,49;AMERSUD
Australie;12,56;6,99;81,99;14,20717201;1,85;1,01;OCEANIE
Autriche;9,01;9,4;80,55;17,82169975;1,4;0,22;EUROPE
Azerbaijan;19,08;6,88;71,08;6,473456151;2,14;1,12;ASIE
Bahamas;16,17;5,91;74,72;7,213930348;1,97;1,14;AMERSUD
Bahrein;17,18;2,58;76,17;2,288118078;2,16;1,85;ASIE
Bangladesh;20,23;6,37;67,29;4,032823978;2,22;1,31;ASIE
Barbade;11,07;7,6;77,92;10,65624757;1,56;0,26;AMERSUD
Belgique;11,23;9,63;80,52;17,60135921;1,8;0,38;EUROPE
Belize;23,49;3,53;77,1;4,117831401;2,72;1,94;AMERSUD
Bhoutan;20,72;6,92;67,17;4,919284316;2,45;1,69;ASIE
Bielorussie;9,98;14,63;69,86;13,30325562;1,29;-0,48;EUROPE
Bolivie;25,54;7,26;66,66;4,854724992;3,21;1,63;AMERSUD
BosnieHerzegovine;9,02;10,31;75,65;14,03600862;1,22;-0,17;EUROPE
Botswana;23,98;11,75;55,69;3,934022182;2,74;1,32;AFRIQUE
Brunei;18,86;2,96;77,56;3,593580307;1,99;1,76;ASIE
Bresil;14,72;6,47;73,17;7,087560457;1,74;0,8;AMERSUD
Bulgarie;9,71;14,63;73,96;17,81746192;1,48;-0,63;EUROPE
BurkinaFaso;45,25;12,23;54,02;1,990500196;5,69;3,19;AFRIQUE
Burundi;33,78;13,23;51,78;2,813930038;4,2;2,18;AFRIQUE
Benin;38,1;8,51;62,72;3,284590019;5,22;2,97;AFRIQUE
Cambodge;24,65;7,97;62,64;3,683969815;2,76;1,67;ASIE
Cameroun;35,26;13,57;52,1;3,564221983;4,36;2,16;AFRIQUE
Canada;10,76;7,55;81,19;14,43880579;1,6;0,93;AMERNOR
CapVert;23,12;4,8;72,2;3,99145513;2,56;1,36;AFRIQUE
Chili;14,64;5,66;78,91;9,478184457;1,91;0,94;AMERSUD
Chine;13,64;7,24;73,67;8,406378888;1,78;0,62;ASIE
ChineHongKong;7,7;6,51;82,63;13,16631138;1,01;0,85;ASIE
ChineMacao;8,59;4,59;81,27;7,680657724;0,99;1,07;ASIE
Chypre;11,65;7,3;80,07;13,44467829;1,53;1;ASIE
Colombie;19,45;5,52;73,63;5,777114415;2,35;1,34;AMERSUD
Comores;30,64;6,19;66,57;3,070957516;3,73;2,16;AFRIQUE
Congo;32,82;12,5;54,14;3,798028377;4,07;2,27;AFRIQUE
CoreeNord;13,63;10,22;67,92;10,02928531;1,85;0,34;ASIE
CoreeSud;9,18;6;79,92;11,3867794;1,24;0,31;ASIE
CostaRica;16,3;4,25;79,21;6,637277294;1,93;1,34;AMERSUD
Croatie;9,72;11,85;76,87;17,47779219;1,47;-0,16;EUROPE
Cuba;10,19;7,19;79,06;12,71553378;1,52;0,02;AMERSUD
CeIvoire;33,51;10,12;58,86;3,963892965;4,33;2,33;AFRIQUE
Danemark;10,99;10,29;78,85;17,0998789;1,85;0,17;EUROPE
Djibouti;27,12;10,6;56,53;3,39210597;3,61;1,66;AFRIQUE
Egypte;23,8;5,78;70,76;4,726522188;2,73;1,72;AFRIQUE
EmiratsArabesUnis;13,3;1,52;77,85;1,0448211;1,86;2,11;ASIE
Equateur;19,77;5,28;75,56;6,821728239;2,44;1,15;AMERSUD
Erythree;34,88;7,86;60,83;2,520405451;4,32;2,92;AFRIQUE
Espagne;11,11;8,82;81,43;17,28168802;1,52;0,88;EUROPE
Estonie;12,56;12,93;73,97;17,13658329;1,76;-0,04;EUROPE
EtatsUnis;13,78;7,82;79,73;13,1734833;2,05;0,93;AMERNOR
Ethiopie;36,65;11,06;56,56;3,242646983;4,98;2,53;AFRIQUE
Fidji;20,04;6,81;69,4;5,15325849;2,62;0,52;OCEANIE
Finlande;11,21;9,58;80,25;17,68513859;1,85;0,35;EUROPE
France;11,62;8,79;81,79;17,28229842;1,87;0,43;EUROPE
Gabon;26,22;9,14;61,78;4,342875838;3,11;1,78;AFRIQUE
Gambie;35,3;10,64;56,92;2,882854805;4,79;2,58;AFRIQUE
Georgie;12,06;12,36;72,25;14,27953443;1,59;-0,77;ASIE
Ghana;31,42;10,75;57,42;3,720972365;4,1;2,05;AFRIQUE
Grenade;19,62;5,94;75,96;6,843562088;2,23;0,42;AMERSUD
Grenadines;17,1;7,29;72,22;6,685567953;2,07;0,04;AMERSUD
Grece;9,34;10,34;79,87;18,48863261;1,4;0,17;EUROPE
Guadeloupe;13,72;8,11;79,57;13,30590142;2,07;0,4;AMERSUD
Guam;17,65;5,62;76,08;7,23857645;2,43;1,2;OCEANIE
Guatemala;31,35;5,45;71,01;4,461794245;3,84;2,46;AMERSUD
Guinee;38,17;10,11;59,36;3,320471334;5,15;2,69;AFRIQUE
GuineeBissau;40,05;16,32;48,98;3,464315591;5,54;2,3;AFRIQUE
GuineeEqu;37,66;14,18;51,46;2,790992259;5,17;2,41;AFRIQUE
Guyane;16,83;7,93;68,29;6,339769559;2,26;-0,16;AMERSUD
GuyaneF;23,54;3,66;76,49;4,128711201;3,05;2,47;AMERSUD
Haiti;26,6;8,93;61,87;4,388227673;3,28;1,49;AMERSUD
Honduras;26,13;4,95;72,81;4,351442027;3,05;1,97;AMERSUD
Hongrie;9,9;13,39;74,09;16,5345526;1,4;-0,2;EUROPE
IlesAngloNormandes;8,87;9,49;79,57;15,91377819;1,42;0,14;EUROPE
IlesSalomon;28,64;5,73;67,41;3,179264556;3,61;2,29;OCEANIE
Inde;21,56;8,21;64,7;4,988706441;2,58;1,32;ASIE
Indonesie;17,36;6,27;71,8;6,169764592;2,06;1,04;ASIE
Irak;29,5;5,34;69,06;3,182547898;3,78;2,58;ASIE
Iran;18,33;5,57;72,16;4,810831876;1,75;1,15;ASIE
Irlande;15,18;6,38;80,45;11,54182316;1,94;1,39;EUROPE
Islande;14,4;6,08;82,16;11,92920671;2,08;1,63;EUROPE
Israel;18,8;5,51;81,3;10,34389067;2,68;1,51;ASIE
Italie;8,82;10,31;81,53;20,68562802;1,41;0,27;EUROPE
Jamaique;18,84;7,36;72,54;7,801157132;2,31;0,42;AMERSUD
Japon;7,7;9,66;83,37;23,27503273;1,26;-0,15;ASIE
Jordanie;24,43;4,06;73,33;3,747601771;2,89;1,72;ASIE
Kazakhstan;19,39;10,99;65,6;6,840221323;2,26;0,71;ASIE
Kenya;37,22;10,72;56,12;2,638166097;4,7;2,61;AFRIQUE
Kirgizistan;21,82;7,22;68,68;4,962189451;2,46;1,19;ASIE
Koweit;16,84;2,04;78,03;2,483997754;2,12;2,12;ASIE
Laos;26,66;6,61;66,29;3,661121871;3,29;1,78;ASIE
Lesotho;28,01;16,52;46,27;4,771309326;3,14;0,81;AFRIQUE
Lettonie;10,74;13,83;73,25;17,48081887;1,46;-0,4;EUROPE
Liban;15,54;7,03;72,63;7,399460305;1,84;0,79;ASIE
Libye;22,2;4,12;74,69;4,458598726;2,54;1,87;AFRIQUE
Liberia;36,84;9,78;59,51;3,146649019;4,83;2,89;AFRIQUE
Lituanie;9,8;13,66;72,28;16,55044439;1,4;-0,8;EUROPE
Luxembourg;11,3;8,04;80,08;14,08810342;1,68;1,13;EUROPE
Macedoine;10,85;9,56;74,69;12,09093889;1,45;0,03;EUROPE
Madagascar;34,25;8,51;61,67;3,038645707;4,42;2,57;AFRIQUE
Malaisie;19,37;4,57;74,92;5,002662923;2,42;1,53;ASIE
Malawi;38,79;11,04;55,3;3,154840869;5,26;2,76;AFRIQUE
Maldives;18,93;4,47;72,67;4,411302983;1,96;1,45;ASIE
